total_trips,shared_pairs,reduced_trips,percent_reduction,pickup_radius_km,dropoff_radius_km,time_window_min
50000,39,39,0.078,0.2,0.2,3
50000,59,59,0.11800000000000001,0.2,0.2,5
50000,83,83,0.166,0.2,0.2,7
50000,71,71,0.14200000000000002,0.2,0.4,3
50000,106,106,0.212,0.2,0.4,5
50000,151,151,0.302,0.2,0.4,7
50000,96,96,0.192,0.2,0.6,3
50000,144,144,0.28800000000000003,0.2,0.6,5
50000,217,217,0.434,0.2,0.6,7
50000,70,70,0.13999999999999999,0.4,0.2,3
50000,105,105,0.21,0.4,0.2,5
50000,140,140,0.27999999999999997,0.4,0.2,7
50000,156,156,0.312,0.4,0.4,3
50000,236,236,0.47200000000000003,0.4,0.4,5
50000,312,312,0.624,0.4,0.4,7
50000,236,236,0.47200000000000003,0.4,0.6,3
50000,367,367,0.734,0.4,0.6,5
50000,511,511,1.022,0.4,0.6,7
50000,98,98,0.196,0.6,0.2,3
50000,150,150,0.3,0.6,0.2,5
50000,206,206,0.41200000000000003,0.6,0.2,7
50000,238,238,0.47600000000000003,0.6,0.4,3
50000,373,373,0.746,0.6,0.4,5
50000,502,502,1.004,0.6,0.4,7
50000,386,386,0.772,0.6,0.6,3
50000,622,622,1.244,0.6,0.6,5
50000,862,862,1.7239999999999998,0.6,0.6,7
