SegmentID,Time_Period,Avg_Risk_Score,Avg_Volume,Category,PULocationID,PU_in_taxi_clean,Segment_in_traffic
2696,All_Day,0.4865615,0.32759255,Safe Flow,84.0,True,True
4917,All_Day,0.47710595,0.021170687,Safe Flow,118.0,True,True
4918,All_Day,0.74575865,0.2021816,Hidden Danger,118.0,True,True
5491,All_Day,0.52990925,1.9630358,Safe Congestion,23.0,True,True
7384,All_Day,0.670716,0.31900445,Safe Flow,176.0,True,True
7431,All_Day,0.447858,0.41072363,Safe Flow,176.0,True,True
7566,All_Day,0.68480974,0.9294823,Safe Flow,118.0,True,True
7570,All_Day,0.3574784,2.3480718,Safe Congestion,176.0,True,True
8070,All_Day,0.47901312,3.0442464,Safe Congestion,118.0,True,True
8127,All_Day,0.28756618,3.7933323,Safe Congestion,118.0,True,True
8841,All_Day,0.6603887,1.2466124,Safe Flow,251.0,True,True
9017,All_Day,0.4211464,1.081057,Safe Flow,251.0,True,True
10198,All_Day,0.39848208,0.12467353,Safe Flow,206.0,True,True
10669,All_Day,0.44741672,0.52579504,Safe Flow,172.0,True,True
11060,All_Day,0.4689607,0.7283761,Safe Flow,172.0,True,True
12562,All_Day,0.504272,0.294884,Safe Flow,206.0,True,True
12620,All_Day,0.26028696,0.006083884,Safe Flow,251.0,True,True
12646,All_Day,0.40077555,0.0017821478,Safe Flow,206.0,True,True
12675,All_Day,0.44688436,0.111937314,Safe Flow,206.0,True,True
12676,All_Day,0.5418361,0.13335381,Safe Flow,206.0,True,True
12806,All_Day,0.50882286,0.06372715,Safe Flow,118.0,True,True
12946,All_Day,0.36871216,0.11716086,Safe Flow,118.0,True,True
12974,All_Day,0.6922886,0.018558918,Safe Flow,115.0,True,True
12986,All_Day,0.54281485,0.0075894915,Safe Flow,245.0,True,True
13483,All_Day,0.404053,0.002734675,Safe Flow,245.0,True,True
13496,All_Day,0.62512463,0.0018436011,Safe Flow,115.0,True,True
15110,All_Day,0.46817443,2.2411122,Safe Congestion,115.0,True,True
15116,All_Day,0.4915498,0.9320633,Safe Flow,,False,True
16353,All_Day,0.34822556,0.0031955754,Safe Flow,206.0,True,True
17691,All_Day,0.54355365,0.1685666,Safe Flow,228.0,True,True
18635,All_Day,0.342152,0.3023045,Safe Flow,11.0,True,True
19219,All_Day,0.29626527,0.22805347,Safe Flow,21.0,True,True
19233,All_Day,0.6242761,0.0006145337,Safe Flow,21.0,True,True
19260,All_Day,0.44217074,0.12444308,Safe Flow,55.0,True,True
20262,All_Day,0.70354533,0.045874942,Safe Flow,22.0,True,True
20380,All_Day,0.66565424,0.059517592,Safe Flow,22.0,True,True
20383,All_Day,0.27151546,0.00024581348,Safe Flow,22.0,True,True
20651,All_Day,0.2659328,0.7453833,Safe Flow,228.0,True,True
20652,All_Day,0.5373063,0.19431557,Safe Flow,228.0,True,True
21211,All_Day,0.5884167,0.0016285144,Safe Flow,227.0,True,True
21214,All_Day,0.2757555,0.003441389,Safe Flow,227.0,True,True
21766,All_Day,0.56999135,0.0023045014,Safe Flow,195.0,True,True
21770,All_Day,0.42356673,0.009986173,Safe Flow,195.0,True,True
22023,All_Day,0.43706742,0.0,Safe Flow,54.0,True,True
22139,All_Day,0.48771513,11.129145,Safe Congestion,106.0,True,True
22212,All_Day,0.5445753,0.00076816714,Safe Flow,40.0,True,True
22242,All_Day,0.5039856,0.001659241,Safe Flow,52.0,True,True
22243,All_Day,0.3907276,0.0019972345,Safe Flow,52.0,True,True
22310,All_Day,0.27735186,0.031126132,Safe Flow,106.0,True,True
22341,All_Day,0.54319125,0.2036872,Safe Flow,106.0,True,True
22409,All_Day,0.38439736,1.4816408,Safe Flow,52.0,True,True
22477,All_Day,0.6941489,1.0270702,Safe Flow,106.0,True,True
23049,All_Day,0.54042166,0.00058380706,Safe Flow,261.0,True,True
23051,All_Day,0.62421745,0.0036411122,Safe Flow,261.0,True,True
23053,All_Day,0.5096209,0.0025195882,Safe Flow,261.0,True,True
23593,All_Day,0.14630339,0.015424796,Safe Flow,54.0,True,True
23631,All_Day,0.38232666,0.10732832,Safe Flow,54.0,True,True
23836,All_Day,0.515024,0.0023966816,Safe Flow,33.0,True,True
23842,All_Day,0.46765393,0.004977723,Safe Flow,33.0,True,True
24185,All_Day,0.70905507,0.3420802,Safe Flow,25.0,True,True
24672,All_Day,0.4380363,2.259241,Safe Congestion,97.0,True,True
25426,All_Day,0.6510873,3.5084345,Safe Congestion,108.0,True,True
25836,All_Day,0.4420475,0.060224306,Safe Flow,123.0,True,True
26185,All_Day,0.5471866,1.8951606,Safe Congestion,150.0,True,True
26210,All_Day,0.30914274,1.1349823,Safe Flow,150.0,True,True
26624,All_Day,0.482381,0.35778153,Safe Flow,178.0,True,True
27822,All_Day,0.47848362,10.775265,Safe Congestion,133.0,True,True
28642,All_Day,0.70196915,0.15744354,Safe Flow,89.0,True,True
28645,All_Day,0.49833617,0.752896,Safe Flow,89.0,True,True
28957,All_Day,0.70303166,0.028821632,Safe Flow,97.0,True,True
29256,All_Day,0.44438103,0.24037486,Safe Flow,49.0,True,True
29347,All_Day,0.64983714,0.8130281,Safe Flow,49.0,True,True
31906,All_Day,0.43779117,0.38798586,Safe Flow,125.0,True,True
32478,All_Day,0.5060142,0.4270702,Safe Flow,144.0,True,True
33814,All_Day,0.665233,0.5766477,Safe Flow,68.0,True,True
