,count
42422026,1804
42437401,2156
42440639,1449
42440628,1195
42427412,958
9802614802,1006
42433718,826
42433715,555
42433712,435
42439440,26189
42435422,26032
42435420,23181
42427805,23647
42438547,23194
42434807,25224
42439842,24008
42430277,23837
42429874,23771
42429876,3400
42446849,1776
42429595,1881
3588508439,2373
246858435,11050
42429570,10853
42449613,8921
42431626,10129
42453417,9758
4207143418,10701
42436316,10290
12416643515,672
42436060,1240
42445924,21740
42452353,11589
42430350,13826
42430352,10364
42430356,11024
42430358,10860
42430361,10399
7372860100,22281
42428201,15548
42445867,15879
42448379,16034
42443615,11238
42432856,12015
8133385388,10431
42449971,11445
4288677093,13646
6177439759,12099
42436519,13792
42449982,11320
42429980,11260
42431656,11183
42449985,12618
5542680310,10505
42447235,11531
42437436,10699
42431680,10580
42449991,10534
42429690,11064
42445236,11823
42442960,9462
42442959,7043
42442957,7691
42436710,9364
42442955,11439
42440465,12183
42442952,10930
42438894,12114
42442949,11672
42442948,11626
42434090,12934
42442947,11444
42442943,10752
42442939,10512
42449947,17915
42446971,8243
11337295604,16721
42432444,16551
42432451,22640
42432458,3100
42432464,10830
42442935,10772
42442933,10971
42442931,12601
42442918,13739
42423020,13998
42434965,9441
5131026388,11640
42442913,6565
42442910,7106
42442906,7171
42442902,8262
42445417,6989
42445926,19129
42438881,20262
42445928,19658
42440453,19016
42445930,23999
42436701,14436
42436700,10138
42430367,11805
42448254,5920
42435518,5481
42456066,5182
42429342,7220
42429340,6584
42429338,10570
42429334,7035
42436486,10250
42438800,11317
42439561,14600
42430063,13753
42450009,13532
42446472,13392
42443046,1958
42443044,2736
42436549,2860
42436546,6389
42436544,3402
42445738,3281
42447136,3305
42430371,10912
42430375,9710
42443264,3115
42443263,4756
42431293,4756
42425232,8472
42442552,8529
42442555,6025
1061531631,2100
1061531802,1927
1061531815,1792
1061531496,1750
11803957851,1785
1061531654,3446
1061531717,3067
595314104,2906
561035330,2855
3579432156,3045
1506445808,2142
561035333,1942
561035334,1827
4461990857,24979
42430235,23070
42433282,941
42433260,931
42433261,3294
4679523598,2176
42430805,12207
42431802,7975
4841945995,1856
339044224,3388
42453952,3972
42454401,2031
272194254,1977
42459493,1871
42453398,7041
42440918,9735
4207143421,10431
42436024,9651
42445174,9616
9611529611,9953
42440854,10878
42442294,10874
12162502083,20820
9607729579,15194
42453442,14061
591454081,14061
42452008,14390
42436903,14827
42453457,14699
42444267,368
42457735,1655
42435660,21037
42435663,31229
5849918504,20465
42435671,21009
42432700,20938
42435675,21156
42435677,23988
42435680,21424
42432589,21368
42435684,19244
42428308,3130
42440001,24521
42428014,6080
42428013,6191
42428012,7625
42428010,8018
596799891,2047
42427036,2230
42427030,2223
42450634,9253
371188320,9002
406006393,11831
5426969134,11841
370924677,11167
5779545445,9798
42426851,2055
42450814,2171
6176628861,1941
42422899,5937
42449689,2080
42434962,4261
42445382,10269
42445378,24859
42445374,17663
3786901743,25582
561042190,11149
42445365,16548
42437644,28661
42430304,27347
42437654,30777
9140654137,9004
100522479,8351
3639382767,3824
3639382768,3672
561042195,11707
42445651,10785
42445914,10219
42432438,10368
42445916,26739
42437358,27952
42430333,30354
42428287,21492
42437363,41933
42424610,2377
42436308,1349
3788379684,1389
13294718043,1559
13324038870,1660
4142105822,2438
12417264049,3829
42436353,2060
42436355,4125
42436359,3391
42436364,5390
42436369,5415
42436371,12387
42436374,3119
42436377,2585
42436381,2755
42436384,3200
42430338,11969
42430342,12756
42430344,12647
42430347,13054
42443528,9169
42435333,5993
42435331,6157
42425570,7183
42443388,4236
42443381,4043
42442534,4507
42444933,11611
42444928,13576
42427477,11390
42437909,13607
42434279,10897
42443674,11877
42427386,11431
42444916,11928
42429663,11397
42439280,13794
42444909,12998
4557517552,11133
387180916,11163
42436439,24693
42435596,37581
42439823,31544
42435714,17187
42445037,10093
42455643,7963
42430745,4376
42430742,2657
42430739,4521
4443775465,23429
4557517549,12941
358448394,11353
42437688,12288
5545401594,12613
42427821,7070
42427824,4394
42430603,3449
42430600,3651
42430597,2811
42432594,10410
42432598,8773
42430698,3755
42435743,1790
42435736,2010
3247295579,1265
12534082093,2902
12534082089,2968
42435359,3503
42443426,1399
42443413,1472
42432744,1578
42421737,2291
42437917,1898
42443406,1812
42443403,4332
42435657,19653
42436575,2233
561042194,7222
561042192,5967
42445909,7224
42443950,22572
42430314,26294
42428264,5387
42439960,26599
42439955,24672
42439952,24237
42432564,7045
42442445,4530
42442451,4469
42442459,4688
42438862,4643
42428063,3997
42442480,7262
42434160,4372
42438045,4188
42422000,4033
42437052,3807
42442492,2816
42442502,2570
42442514,2454
42436990,3196
42442528,2367
42435642,22225
42435644,26961
42430308,22653
42430311,23456
42430317,21877
42443050,2076
42443048,2391
561042193,5117
561042191,3590
561042188,6835
4597668020,11980
42449308,23856
42446934,13794
42449314,15780
42445936,12240
42445941,11575
42443612,10818
42432825,14699
42445947,10084
42445950,12276
42445953,11594
4347534783,9552
4347534767,10681
42427764,4007
42437663,13630
42434427,4064
42437670,8418
3270031002,3558
42430633,5646
42430639,2748
42430694,3420
42429562,3188
42449597,3445
42431611,4295
42445356,4680
42430550,4193
42429830,4045
42452817,4564
42448171,4435
4143851142,4277
42430115,3343
42430118,3046
42430122,3311
42430126,3847
42430131,2860
4143859865,3361
3788379733,5283
42430136,3229
5216470727,5077
42430143,4714
42430147,6128
42430154,8863
42430160,6812
42430164,10662
42430167,8568
13082559909,8565
3891963915,8623
4321748238,12226
4321748237,10210
5854302557,8558
4597668032,5924
42445972,12461
42445976,12012
42447228,8014
42457788,5395
247223720,5402
7802856352,11284
7802856365,11607
42435257,9470
42444223,261
42421951,313
42421965,185
4145794861,197
4145735057,2038
4145735066,2022
42451370,2129
246911576,2027
3574648569,2037
588593059,1988
4149748671,1993
9181525951,2086
42446640,2173
42452314,3613
12413032498,6249
6417761624,4311
42422028,4879
246858433,7334
42435687,18550
42435702,19847
42428312,5983
12991873791,17535
42440009,27545
42443052,2075
42436919,12655
42450015,13930
42438503,11024
42450025,10027
42439403,9927
42448238,9268
42434074,23178
42449333,7321
42431490,7305
42430255,17737
42439826,20479
42435598,19365
42435599,19949
42435603,21071
42429662,19003
42435610,20132
42427381,19732
5849918502,20653
42434271,19621
42435624,22177
42427427,18354
42435629,19700
42453630,7463
42454196,4717
42445748,4437
42436551,3977
42444820,3601
42456076,3158
42431654,4185
42442977,7248
42455675,17227
42447237,15612
42437451,15018
42431684,14616
42455695,14498
42429694,14763
42428003,8368
42428005,7792
42428007,7571
42439840,21527
42427426,20481
42437890,24319
42430271,22641
42437881,13559
42445917,20000
42445920,19705
42444043,24246
42449067,8781
42430857,10437
42421877,12953
42421889,15800
42432191,26158
42436856,2634
42443975,9606
42433644,7670
42423885,7586
42446504,7552
42455751,8151
42437371,11227
42454433,10020
42443563,9663
42435645,19496
42444960,12429
7037071175,5028
1533280147,3527
42455735,6647
42452975,7158
9421943093,1335
42430646,3918
3270031028,138
5165632724,126
42446977,7554
42446949,8465
42445656,8719
42446945,9379
42446942,8226
42446941,7955
42434954,7611
42446935,11128
42453902,3321
42429844,3969
42454798,4348
42427251,4020
42440350,4636
42440270,5946
42444271,5755
42433229,5904
42452613,14552
42453468,14560
42449098,14586
42440946,14531
42453472,13168
42439099,13277
246649429,16159
11027819091,15396
3874650232,5779
246648219,12104
42445766,13618
42449341,5522
42439286,7316
42429664,5398
42454381,6258
42427390,6328
42443676,5596
42434285,5571
42437914,7408
42427483,5290
42428029,4047
42428032,3694
42428034,3165
42428037,3837
42435646,17443
42435650,19865
42433620,18144
42435654,18735
42436340,468
11659009136,439
42440847,1964
42436083,1977
42436088,2597
42436093,622
42436097,601
42436100,580
42436109,10742
