,count
42446849,1909
42429595,2073
3588508439,2548
246858435,11386
42429570,11097
42449613,9079
42431626,10390
42453417,10036
4207143418,10806
42436316,10316
12416643515,926
42436060,1378
42435714,17377
42445037,10274
42455643,8437
42430745,4717
42435422,26599
42435420,23886
42427805,24351
42438547,24002
42434807,26088
42439842,24948
42430277,23834
42429874,24438
7372860100,23083
42428201,15659
42445867,15944
42429876,3328
4443775465,23659
4557517549,13456
358448394,11790
42437688,12780
5545401594,13005
42427821,7295
42427824,4739
42430603,3810
42430600,4140
42430597,3139
9140654137,8666
100522479,7985
3639382767,3948
3639382768,3962
561042195,11797
561042194,7752
561042192,6322
42445909,6737
42443950,23236
42430314,24989
42428264,5465
42439960,27143
42439955,25045
42439952,24752
42437654,31239
4461990857,25428
42446971,8544
11337295604,16797
42432444,16890
42432451,21495
42432458,3062
42432464,10909
42442935,10898
42442933,11040
42442931,12736
42442918,13924
42423020,14161
42434965,9560
5131026388,11711
42442913,6509
42442910,7223
42442906,7283
42442902,8378
42445417,7115
42446949,9056
42445656,9366
42446945,10108
42446942,8835
42446941,8700
42434954,8294
42445374,18481
42446935,11823
42446934,14658
42446933,14869
8482948064,10392
42445413,15315
42440022,10408
42428329,15265
42439440,26314
42435660,19854
42435663,30113
42437363,41168
42428287,20606
42430333,28559
42430338,11246
42430342,12117
42430344,12103
42430347,12576
42430350,13567
42430352,10110
6177439759,12856
42436519,14134
42449982,11847
42429980,11761
42431656,11903
42449985,13405
42442977,7503
42455675,18274
42447237,16517
42437451,15712
42431684,15345
42455695,14949
42429694,15495
42428003,8821
42428005,8151
42428007,8148
42444933,12002
42435632,18775
42439840,22485
42427426,21325
42437890,25464
42434270,21268
42439836,22061
42427374,21324
42439834,22901
42429661,21995
42429659,24026
42445651,9872
42445914,9370
42432438,9570
42445916,25041
42437358,27327
42435644,26703
42437663,13903
42434427,4036
42437670,8609
3270031002,3759
42430633,6000
42443052,2153
42443050,2197
42443048,2541
42443046,2118
42443044,2889
42436549,3047
42436546,7089
42436544,3807
42445738,3734
42447136,3565
42429334,7680
42449308,23129
42449314,14753
42428014,5981
42428013,6124
42428012,7655
42428010,8250
596799891,2010
42427036,2218
42427030,2210
42450634,9172
371188320,8921
406006393,11724
5426969134,11734
370924677,11077
